Kode Item	Nama Item	Jenis	Konversi	Satuan	Harga Pokok	Harga Retail	Harga Grosir
SRN	BERAS SERUNI	BERAS	1.00	PCS	131,500	135,000	133,000
8996001317143	BETTER 27G VANILA CREAM(1X12X10+1)	MKAN	1.00	PCS	1,455	2,000	1,650
8996001317143	BETTER 27G VANILA CREAM(1X12X10+1)	MKAN	11.00	BOX	16,000	17,000	0
8996001317143	BETTER 27G VANILA CREAM(1X12X10+1)	MKAN	132.00	DUS	192,000	198,000	0
8991115011109	BIGBABOL BRBERY 20g(1X20)	CANDY	1.00	PCS	1,668	2,000	1,750
8991115011109	BIGBABOL BRBERY 20g(1X20)	CANDY	20.00	BOX	33,360	34,500	0
8991115010027	BIGBABOL PAK 125G(1X16)	CANDY	1.00	PAK	10,125	12,500	11,000
8991115010027	BIGBABOL PAK 125G(1X16)	CANDY	16.00	DUS	162,000	167,000	0
8991115012106	BIGBABOL STRWBRY 20g(1X20)	CANDY	1.00	PCS	1,668	2,000	1,750
8991115012106	BIGBABOL STRWBRY 20g(1X20)	CANDY	20.00	BOX	33,360	34,500	0
KJ	BIHUN JAGUNG CAP KEMBANG 2,3KG(42)	BIHUN	1.00	PCS	872	0	0
KJ	BIHUN JAGUNG CAP KEMBANG 2,3KG(42)	BIHUN	42.00	PAK	36,630	40,000	38,500
KJ28	BIHUN JAGUNG CAP KEMBANG 2,8KG(49)	BIHUN	1.00	PCS	927	1,000	0
KJ28	BIHUN JAGUNG CAP KEMBANG 2,8KG(49)	BIHUN	49.00	PAK	45,441	48,000	46,500
8997015650011	BIHUN JAGUNG CAP LADANG 250g(1X10)	BIHUN	1.00	PCS	4,695	5,500	5,000
8997015650011	BIHUN JAGUNG CAP LADANG 250g(1X10)	BIHUN	10.00	BAL	46,951	48,500	0
8994462070461	BIHUN KEMBANG JAGUNG 120G(1X20)	BIHUN	1.00	PCS	2,582	3,000	2,750
8994462070461	BIHUN KEMBANG JAGUNG 120G(1X20)	BIHUN	20.00	BAL	51,643	53,500	0
8994462070492	BIHUN KEMBANG JAGUNG 240G(1X10)	BIHUN	1.00	PCS	4,818	6,000	5,250
8994462070492	BIHUN KEMBANG JAGUNG 240G(1X10)	BIHUN	10.00	BAL	48,178	50,000	0
8997015650028	BIHUN LADANG JAGUNG 150G(1X20)	MIE OLAH	1.00	PCS	2,348	2,348	2,348
8997015650028	BIHUN LADANG JAGUNG 150G(1X20)	MIE OLAH	20.00	BAL	46,951	46,951	0
8992628020152	BIMOLI 2L(1X6)	MINYAK	1.00	PCS	39,000	41,500	40,500
8992628020152	BIMOLI 2L(1X6)	MINYAK	6.00	DUS	234,000	238,500	0
8992628010139	BIMOLI 5L (1X6)	MINYAK	1.00	PCS	98,625	103,500	101,000
8992628010139	BIMOLI 5L (1X6)	MINYAK	4.00	DUS	394,500	400,000	0
8992727006187	BIORE BF LOVELY SAKURA(1x24)	REFIL/SBN MNDI	1.00	PCS	18,900	23,000	20,250
8992727006187	BIORE BF LOVELY SAKURA(1x24)	REFIL/SBN MNDI	24.00	DUS	453,600	442,500	0
8992727002554	BIORE BRIGHT WS 400ML(1X24)	REFIL/SBN MNDI	1.00	PCS	18,900	23,000	20,250
